Dependency,Dependent,Fees,Devs
web3,aave,0.0024613711508048603,0.0
openzeppelin,aave,0.0024613711508048603,0.0
openzeppelin,aave,0.0024613711508048603,0.0
ethers-io,aave,0.0024613711508048603,0.0
web3,aave,0.0024613711508048603,0.0
hardhat-nomicfoundation,aave,0.0024613711508048603,0.0
openzeppelin,aave,0.0024613711508048603,0.0
waffle-truefieng,aave,0.0024613711508048603,0.0
ethers-io,aave,0.0024613711508048603,0.0
hardhat-nomicfoundation,aave,0.0024613711508048603,0.0
wighawag,aave,0.0024613711508048603,0.0
hardhat-tracer-zemse,aave,0.0024613711508048603,0.0
typechain-dethcrypto,aave,0.0024613711508048603,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
ethers-io,1-inch,0.05670242060312299,0.0
hardhat-nomicfoundation,1-inch,0.05670242060312299,0.0
wighawag,1-inch,0.05670242060312299,0.0
hardhat-tracer-zemse,1-inch,0.05670242060312299,0.0
prettier-solidity,1-inch,0.05670242060312299,0.0
typechain-dethcrypto,1-inch,0.05670242060312299,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
ethers-io,1-inch,0.05670242060312299,0.0
hardhat-nomicfoundation,1-inch,0.05670242060312299,0.0
wighawag,1-inch,0.05670242060312299,0.0
hardhat-tracer-zemse,1-inch,0.05670242060312299,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
ethers-io,1-inch,0.05670242060312299,0.0
hardhat-nomicfoundation,1-inch,0.05670242060312299,0.0
wighawag,1-inch,0.05670242060312299,0.0
prettier-solidity,1-inch,0.05670242060312299,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
ethers-io,1-inch,0.05670242060312299,0.0
hardhat-nomicfoundation,1-inch,0.05670242060312299,0.0
wighawag,1-inch,0.05670242060312299,0.0
ethers-io,1-inch,0.05670242060312299,0.0
web3,1-inch,0.05670242060312299,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
openzeppelin,1-inch,0.05670242060312299,0.0
ethers-io,1-inch,0.05670242060312299,0.0
hardhat-nomicfoundation,1-inch,0.05670242060312299,0.0
wighawag,1-inch,0.05670242060312299,0.0
web3,1-inch,0.05670242060312299,0.0
hardhat-nomicfoundation,88-mph,0.0,0.0
openzeppelin,88-mph,0.0,0.0
openzeppelin,88-mph,0.0,0.0
openzeppelin,88-mph,0.0,0.0
waffle-truefieng,88-mph,0.0,0.0
ethers-io,88-mph,0.0,0.0
hardhat-nomicfoundation,88-mph,0.0,0.0
wighawag,88-mph,0.0,0.0
prettier-solidity,88-mph,0.0,0.0
typechain-dethcrypto,88-mph,0.0,0.0
web3,88-mph,0.0,0.0
hardhat-nomicfoundation,88-mph,0.0,0.0
openzeppelin,88-mph,0.0,0.0
openzeppelin,88-mph,0.0,0.0
waffle-truefieng,88-mph,0.0,0.0
ethers-io,88-mph,0.0,0.0
hardhat-nomicfoundation,88-mph,0.0,0.0
wighawag,88-mph,0.0,0.0
prettier-solidity,88-mph,0.0,0.0
openzeppelin,88-mph,0.0,0.0
openzeppelin,88-mph,0.0,0.0
hardhat-nomicfoundation,88-mph,0.0,0.0
wighawag,88-mph,0.0,0.0
prettier-solidity,88-mph,0.0,0.0
typechain-dethcrypto,88-mph,0.0,0.0
web3,88-mph,0.0,0.0
web3,88-mph,0.0,0.0
web3,88-mph,0.0,0.0
openzeppelin,88-mph,0.0,0.0
hardhat-nomicfoundation,88-mph,0.0,0.0
wighawag,88-mph,0.0,0.0
web3,88-mph,0.0,0.0
hardhat-nomicfoundation,88-mph,0.0,0.0
openzeppelin,88-mph,0.0,0.0
openzeppelin,88-mph,0.0,0.0
openzeppelin,88-mph,0.0,0.0
waffle-truefieng,88-mph,0.0,0.0
ethers-io,88-mph,0.0,0.0
hardhat-nomicfoundation,88-mph,0.0,0.0
ethers-io,88-mph,0.0,0.0
hardhat-nomicfoundation,88-mph,0.0,0.0
web3,88-mph,0.0,0.0
ethers-io,abracadabra,0.0033772013400961824,0.0
typechain-dethcrypto,abracadabra,0.0033772013400961824,0.0
web3,abracadabra,0.0033772013400961824,0.0
ethers-io,abracadabra,0.0033772013400961824,0.0
hardhat-nomicfoundation,abracadabra,0.0033772013400961824,0.0
prettier-solidity,abracadabra,0.0033772013400961824,0.0
typechain-dethcrypto,abracadabra,0.0033772013400961824,0.0
openzeppelin,abracadabra,0.0033772013400961824,0.0
wagmi-dev,abracadabra,0.0033772013400961824,0.0
wagmi-dev,abracadabra,0.0033772013400961824,0.0
wagmi-dev,abracadabra,0.0033772013400961824,0.0
ethers-io,abracadabra,0.0033772013400961824,0.0
wagmi-dev,abracadabra,0.0033772013400961824,0.0
wagmi-dev,abracadabra,0.0033772013400961824,0.0
wagmi-dev,abracadabra,0.0033772013400961824,0.0
hardhat-nomicfoundation,abracadabra,0.0033772013400961824,0.0
waffle-truefieng,abracadabra,0.0033772013400961824,0.0
ethers-io,abracadabra,0.0033772013400961824,0.0
hardhat-nomicfoundation,abracadabra,0.0033772013400961824,0.0
wighawag,abracadabra,0.0033772013400961824,0.0
prettier-solidity,abracadabra,0.0033772013400961824,0.0
